ID,ICON_ID,PREFAB_ID,NAME,DESC,TYPE,DEF,COST,WEIGHT,STR,CON,INT,LUK,EVADE,BLOCK
DEF_0001,armor,,ARMOR,갑바,EQUIP,100,300,10,15,10,0,10,10,20
DEF_0002,bag,,BAG,가방,EQUIP,200,200,10,20,10,0,10,10,0
DEF_0003,belts,,BELTS,벨트,ACC,300,300,10,15,10,0,10,10,0
DEF_0004,boots,,BOOTS,나이키,EQUIP,200,500,10,15,10,0,10,10,0
DEF_0005,bracers,,BRACERS,아귀,EQUIP,100,400,10,15,10,0,10,10,0
DEF_0006,cloaks,,CLOAKS,망토,EQUIP,150,250,10,15,10,0,10,30,0
DEF_0007,gloves,,GLOVES,장갑,EQUIP,120,300,10,20,10,0,10,10,0
DEF_0008,helmets,,HELMETS,뚝배기,EQUIP,152,450,10,30,20,0,10,10,10
DEF_0009,pants,,PANTS,바지,EQUIP,132,600,10,25,10,0,10,10,0
DEF_0010,rings,,RINGS,반지,ACC,15,550,10,30,20,30,20,10,0
DEF_0011,shoulders,,SHOULDERS,어깨뽕,EQUIP,20,300,10,10,10,0,10,10,10
DEF_0012,necklace,,NECKLACE,목걸이,ACC,15,1000,10,10,10,0,10,10,10
